Параметр;Значение / формула;Пояснение;Сверка (код)
DiceMaster — калькулятор силы;;;
"Импорт: Excel/Таблицы, локаль RU. Разделитель полей «;», в формулах «;» и дробная «,».";;;
;;;
—— ВВОД СТАТОВ (меняй значения) ——;;;
Attack;60;;
Health;200;;
Armor;30;;
Attack Speed, %;100;100 = базовая скорость;
Crit Chance, %;0;;
Crit Damage, %;150;150 = ×1,5 урона на крите;
Lifesteal, %;0;;
Mass Attack (area), %;0;;
Thorns, %;0;;
;;;
—— БОЙ (только симулятор, не сила) ——;;;
armorDamageConstant (бой);1;K в calculateArmorReducedDamage;
minDamageMultiplier (бой);0,05;мин. доля урона после брони в бою;
;;;
—— КОНФИГ СИЛЫ, модель D1 (вакуум) ——;;docs/power-display-formula-options.md;
playerBase HP (H₀);100;эталон для defenseScore;
playerBase Armor (A₀);10;эталон для defenseScore;
healthDefenseExponent (α);0,6;defense = (HP/H₀)^α × (armor/A₀)^(1−α);
averageExtraTargets;1,5;среднее число доп. целей для area;
critEfficiency;0,59;доля крит-урона в expected hit;
attackSpeedEfficiency;0,7;эффективность скорости атаки выше 100%;
areaEfficiency;1;множитель area DPS;
lifestealEfficiency;0,38;доля main DPS в sustain;
thornsEfficiency;0,66;множитель шипов;
playerBaseSpeed (шипы);1;скорость «входящих ударов» для thorns;
sustainEffectiveHealthDivisor;20;defenseScore в знаменателе sustain;
defensePowerWeight;0,5;степень defenseScore;
offensePowerWeight;0,5;степень offenseScore;
;;;
—— НОРМАЛИЗАЦИЯ (как normalizeStats) ——;;;
atk;"=MAX(0;B6)";;
hp;"=MAX(1;B7)";;
arm;"=MAX(0;B8)";;
spd;"=MAX(0,05;B9/100)";;
critC;"=MIN(1;MAX(0;B10/100))";;
critD;"=MAX(1;B11/100)";;
ls;"=MIN(1;MAX(0;B12/100))";;
area;"=MIN(1;MAX(0;B13/100))";;
th;"=MAX(0;B14/100)";;
;;;
—— РАСЧЁТ (модель D1) ——;;колонка D — сверка с Node;
defenseScore;"=POWER(B37/$B$21;$B$23)*POWER(MAX(B38;$B$22*0,01)/$B$22;1-$B$23)*POWER($B$21;$B$23)*POWER($B$22;1-$B$23)";(HP/H₀)^α × (armor/A₀)^(1−α) × anchor;93,6411
mainHit (raw attack);=B36;без mit цели;60
expectedHitDamage;=B48*(1+B40*(B41-1)*$B$25);средний удар с критом;
effectiveAttackSpeed;"=MAX(1E-9;1+(B39-1)*$B$26)";скорость >100% с коэфф.;
dps (main);=B49*B50;main DPS;60
areaDps;=B36*B43*$B$24*$B$27*B50;area без mit цели;
offensePressure;=B51+B52;main + area DPS;
sustain (только от main dps);=B51*B42*$B$28;;
sustainMultiplier;"=1+B54/MAX(1;B53+B47/$B$31)";множитель от lifesteal;
thornsRaw;=B38*B44;armor × thorns%;
thornsValue;=B56*$B$30*$B$29;без mit цели;
offenseScore;=B53+B57;DPS + area + thorns;
СИЛА (power);"=POWER(B47;$B$32)*POWER(B58;$B$33)*B55";defense^wDef × offense^wOff × sustain;74,9564
